sample_id,time_index,batch_id,protocol,is_outlier,voltage_kV,current_uA,exposure_ms,n_projections,voxel_size_um,filter_thickness_mm,true_porosity,true_mean_pore_diameter_um,true_heterogeneity,sample_thickness_mm,mu_matrix_effective,intensity_matrix,intensity_pore,attenuation_contrast,photon_signal,photon_signal_norm,relative_noise,detector_drift,relative_noise_drifted,snr,cnr,snr_drifted,cnr_drifted,pore_detectability,detectability_score,segmentation_bias,segmentation_abs_error,estimated_porosity,porosity_error,abs_porosity_error,estimated_mean_pore_diameter_um,quality_score,relative_noise_drifted_rolling_mean_50,relative_noise_drifted_rolling_std_50,snr_drifted_rolling_mean_50,snr_drifted_rolling_std_50,cnr_drifted_rolling_mean_50,cnr_drifted_rolling_std_50,segmentation_abs_error_rolling_mean_50,segmentation_abs_error_rolling_std_50,abs_porosity_error_rolling_mean_50,abs_porosity_error_rolling_std_50,quality_score_rolling_mean_50,quality_score_rolling_std_50
1,0,2,B_optimized,False,139.77926418311998,79.74020540866036,556.875110838373,1661,67.21042559989152,1.0174220396977531,0.0445425941585326,302.33365999143007,0.1443402460065982,7.831549295117089,0.2091091816753136,0.1944366522489947,0.8550195148649992,0.6605828626160044,73757262.63959435,1.92258178759318,0.0551840399153562,1.0,0.0551840399153562,3.523421854348293,11.970541910835742,3.523421854348293,11.970541910835742,4.498314916070373,0.8173230173980297,-0.0008163820429668,0.0409114257666834,0.0286407293990552,-0.0159018647594773,0.0159018647594773,287.16913177243384,68.53512975025407,0.08639690435021034,0.032041211599645944,2.4682948097553696,1.1459243569156254,8.916510379154904,3.4094723308944395,0.07491457679350451,0.022103053476957252,0.0167631501960961,0.011890009324650149,46.79894187192312,15.7597314414576
2,1,16,B_optimized,False,133.5849945371149,88.22442852319347,509.26653933111663,1568,58.50014170693692,0.8418404984973282,0.0554708172536064,158.70370665763946,0.1530634113856978,6.257702009071632,0.2158502984669751,0.2590519012645164,0.8823609730711798,0.6233090718066634,70449847.0568044,1.8363695728782004,0.0544371858648379,1.00025,0.0544507951613041,4.758730583680728,11.450060503757072,4.757541198381132,11.44719870408105,2.712877302976181,0.428708423942285,-0.0188456876029484,0.058534392608344,0.0245712657686026,-0.0308995514850037,0.0308995514850037,155.735321097827,60.56509495732684,0.08624688546947444,0.03140316573884491,2.424212601898503,1.1450507385218904,8.911598418420825,3.340680892190087,0.07396728922996941,0.022188609037381266,0.01716297953465927,0.01182682881714406,47.105830705763076,15.52040815723992
3,2,14,B_optimized,False,133.15981627304438,79.57357704807076,669.7462402778515,1346,56.41034096877168,1.085015866525089,0.0487266943215623,89.63746010604554,0.2175309475377333,7.784073210460602,0.216332513553406,0.1856395992605691,0.8558317600035762,0.670192160743007,71733864.05588357,1.869839194838716,0.050721062166241,1.0005,0.0507464226973242,3.660010089144528,13.213291128376122,3.658180998645206,13.20668778448388,1.5890253199438755,0.1960803692491461,-0.0261896168133594,0.0728012186009317,0.027155258721129,-0.0215714356004333,0.0215714356004333,77.60192366533103,53.10384005865845,0.08525793033514303,0.031219168855943565,2.4237969436927975,1.1228167041744483,9.012783786101162,3.3177328483943533,0.07350213646897985,0.02189155876418105,0.016725761870824682,0.011817589262197505,47.415210457864504,15.30368136650114
4,3,9,B_optimized,False,135.62814017932877,79.75404934191576,671.1136022804093,1778,53.40096330321354,0.5662730228021257,0.0230569496707175,170.3094160804013,0.2913185032775557,7.624673374642248,0.2135689748005775,0.1962445534527785,0.8585645025168314,0.6623199490640528,95165720.628838,2.4806219040179767,0.0472814491200446,1.00075,0.0473169102068847,4.150561311150294,14.008029816989392,4.147450723107962,13.997531668238212,3.189257375627763,0.547173621103861,-0.0192352023011619,0.0527600900056762,0.0073688534883791,-0.0156880961823383,0.0156880961823383,143.42288853746814,66.90307157923392,0.08435936668736091,0.031002363157875298,2.3982482409060433,1.110090415209022,9.110300479955237,3.2963521859037797,0.07304992481228485,0.0216151931155416,0.016351030553450017,0.011764984183691013,47.753263130315084,15.123766717055332
5,4,9,B_optimized,False,145.1795200978251,75.32776533422394,803.0713482585485,1107,54.59554371316289,0.7422770242461013,0.0469880801540196,560.4467962080041,0.2585541619247216,6.960954795570949,0.2036335243994218,0.2423229936533384,0.8700373859404749,0.6277143922871364,66966382.06556246,1.7455683946592435,0.0650712966967991,1.001,0.0651363679934959,3.723961346312899,9.64656344888872,3.720241105207692,9.636926522366355,10.265431170582543,0.9993011889911364,0.0056203246600391,0.0382264008407311,0.0502139665820721,0.0032258864280525,0.0032258864280525,546.9985486473596,72.2475402910635,0.08349561058682918,0.03079701322093023,2.416734610124716,1.09462350566017,9.189445872626106,3.2648926982358963,0.07211052537561027,0.0218202184905564,0.016058397515979365,0.011659968009601979,48.38448807065601,15.235299602722453
6,5,18,B_optimized,True,126.95786275187278,80.95299143493023,589.8495468480768,1520,65.4367366854266,1.0888500792804758,0.0734061635481808,149.1798708595747,0.1282535318052182,7.4326058242471955,0.2236769877645638,0.1896636797275221,0.8618688927319729,0.6722052130044507,72580129.67711255,1.8918982411294007,0.0560401520896174,1.00125,0.094371953477089,3.384424785718256,11.995064037825651,2.0097462512902986,7.122934179460894,2.2797571886374115,0.3273395164558857,-0.0209700149241157,0.0886124052656333,0.0605667939734729,-0.0128393695747079,0.0128393695747079,128.86101137807205,25.894562677066627,0.08500935304084281,0.0313766334989561,2.3829227278425393,1.0914122309735121,9.05801217921473,3.2878867072010998,0.07317945245289285,0.022225707865313925,0.016819028863166684,0.01219112615640522,47.74074467912274,15.379940746574595
7,6,2,A_standard,False,137.70368458599555,59.92469546635093,357.1274429172309,946,85.58117011949653,0.6933248588466483,0.0328506243643547,153.8859496387918,0.1940264182996046,8.135091414290978,0.2113105277856392,0.1792398438329065,0.8498445502463812,0.6706047064134746,20245112.583479136,0.527715961083891,0.1083959083575273,1.0015,0.1085585022200636,1.653566509555982,6.18662379950346,1.651089874743866,6.177357762859171,1.7981286002974914,0.2311424722045198,-0.0209156551712711,0.0921285578764036,0.0368841728950207,0.0040335485306659,0.0040335485306659,119.6994571908985,36.02846708210859,0.08429326504400757,0.031105834415198964,2.3912650143907874,1.074072642831203,9.116698916310495,3.249096360402803,0.07204374694485216,0.022748640783014158,0.016651883010535308,0.012022292136427892,48.38883954162524,15.546017504945544
8,7,14,B_optimized,True,139.61914135833212,82.54398955531238,676.6490530660943,1488,55.0296428063798,0.426587963821007,0.0587704573820577,140.43088720202687,0.3241388678855388,6.866753214314924,0.209277025258537,0.237626851651841,0.8716781089923604,0.6340512573405194,83109728.80492276,2.166366338090981,0.0525256387967318,1.00175,0.1031623615065493,4.524016405996118,12.071271703981072,2.303425863673692,6.146149119514544,2.551913478634213,0.3898158089370424,-0.0155651215836654,0.114572959520774,0.0498708193557011,-0.0088996380263565,0.0088996380263565,116.0053423973569,24.7753706988325,0.08355492671869748,0.030883741612038555,2.4278672584150454,1.076702968232524,9.167529337817859,3.2091697080754114,0.07121846412975127,0.02286049043820991,0.016222365346009845,0.012073798326841917,48.98446089434419,15.65998237276068
9,8,5,A_standard,False,124.2031115878582,59.494658254400505,251.1151284179145,894,78.3887648254363,0.6454846540483119,0.023845995511801,380.0415393403527,0.2891389364346208,7.289214528584191,0.2271382598072283,0.1909660713961427,0.8643441302550873,0.6733780588589446,13356367.820473948,0.3481516070561706,0.1418067086983478,1.002,0.1420903221157445,1.3466645770784154,4.748562779856619,1.3439766238307538,4.739084610635349,4.848163383957714,0.8639113189856038,0.0119122439347295,0.075784310662602,0.0395540157243509,0.0157080202125498,0.0157080202125498,386.7079371340864,45.86422631219187,0.08394426010679899,0.030479521490411034,2.406912194296241,1.0665609580552913,9.104607189159335,3.1792431709657727,0.07114320402389297,0.02250461340727703,0.01609946126320146,0.011904602712666584,48.91317360515007,15.41879225583662
10,9,2,A_standard,False,123.1699262193007,68.76311393104072,257.9479626123573,1030,69.36851289844577,0.4585627422179008,0.026925633389784,197.2191360238457,0.1038855219119583,9.54790201555272,0.2284702992566566,0.1128820251611103,0.8261672531448816,0.7132852279837713,18269424.29563516,0.4762170010597031,0.1112858724440072,1.00225,0.1115362656570062,1.0143428153282092,6.409485879195097,1.0120656675761628,6.39509691114502,2.843064205694749,0.4608463774940572,-0.0145692150969362,0.0761697073020356,0.0054623827517839,-0.021463250638,0.021463250638,179.85294740556603,37.64791812687015,0.08325322875091637,0.03028341964235888,2.464049024835908,1.1018520716771067,9.138079444545443,3.1367801874973753,0.07007203395329976,0.023024382831029012,0.015792562659579318,0.011858641703410208,49.70502464266704,15.869905231370675
