sample_id,time_index,batch_id,protocol,is_outlier,voltage_kV,current_uA,exposure_ms,n_projections,voxel_size_um,filter_thickness_mm,true_porosity,true_mean_pore_diameter_um,true_heterogeneity,sample_thickness_mm,mu_matrix_effective,intensity_matrix,intensity_pore,attenuation_contrast,photon_signal,photon_signal_norm,relative_noise,detector_drift,relative_noise_drifted,snr,cnr,snr_drifted,cnr_drifted,pore_detectability,detectability_score,segmentation_bias,segmentation_abs_error,estimated_porosity,porosity_error,abs_porosity_error,estimated_mean_pore_diameter_um,quality_score
1,0,2,B_optimized,False,139.77926418311998,79.74020540866036,556.875110838373,1661,67.21042559989152,1.0174220396977531,0.0445425941585326,302.33365999143007,0.14434024600659826,7.831549295117089,0.20910918167531364,0.19443665224899473,0.8550195148649992,0.6605828626160044,73757262.63959435,1.9225817875931797,0.055184039915356246,1.0,0.055184039915356246,3.523421854348293,11.970541910835742,3.523421854348293,11.970541910835742,4.498314916070373,0.8173230173980297,0.0026592676799335226,0.027658277082865876,0.03020422800378757,-0.014338366154745031,0.014338366154745031,286.13946975499704,62.765686507987674
2,1,16,B_optimized,False,133.5849945371149,88.22442852319347,509.26653933111663,1568,58.50014170693692,0.8418404984973282,0.0554708172536064,158.70370665763946,0.15306341138569787,6.2577020090716315,0.21585029846697512,0.2590519012645164,0.8823609730711798,0.6233090718066634,70449847.0568044,1.8363695728782004,0.054437185864837916,1.00025,0.05445079516130413,4.758730583680728,11.450060503757072,4.757541198381132,11.44719870408105,2.7128773029761812,0.428708423942285,-0.013056724848000415,0.036648429399187166,0.029835869592660245,-0.025634947660946154,0.025634947660946154,159.5265292430061,60.2924326918874
3,2,14,B_optimized,False,133.15981627304438,79.57357704807076,669.7462402778515,1346,56.41034096877168,1.085015866525089,0.04872669432156236,89.63746010604554,0.21753094753773333,7.784073210460602,0.21633251355340602,0.18563959926056917,0.8558317600035762,0.670192160743007,71733864.05588357,1.8698391948387156,0.05072106216624108,1.0005,0.0507464226973242,3.660010089144528,13.213291128376122,3.658180998645206,13.206687784483881,1.5890253199438757,0.1960803692491461,-0.01763372860517476,0.05055614837199984,0.03643805606643857,-0.012288638255123788,0.012288638255123788,78.19610524664722,53.6930516024177
4,3,9,B_optimized,False,135.62814017932877,79.75404934191576,671.1136022804093,1778,53.40096330321354,0.5662730228021257,0.023056949670717537,170.3094160804013,0.29131850327755576,7.624673374642248,0.21356897480057752,0.19624455345277855,0.8585645025168314,0.6623199490640528,95165720.628838,2.4806219040179767,0.047281449120044686,1.00075,0.04731691020688472,4.150561311150294,14.008029816989392,4.147450723107962,13.997531668238212,3.189257375627763,0.547173621103861,-0.01935088388578169,0.03413297637187836,0.007530714597113285,-0.015526235073604252,0.015526235073604252,140.5572864605151,64.81259173633809
5,4,9,B_optimized,False,145.1795200978251,75.32776533422394,803.0713482585485,1107,54.59554371316289,0.7422770242461013,0.046988080154019604,560.4467962080041,0.25855416192472164,6.960954795570949,0.2036335243994218,0.2423229936533384,0.8700373859404749,0.6277143922871364,66966382.06556246,1.7455683946592437,0.06507129669679919,1.001,0.06513636799349598,3.723961346312899,9.64656344888872,3.7202411052076916,9.636926522366355,10.265431170582543,0.9993011889911364,0.004141925965900631,0.023104791146895336,0.04871792990873953,0.001729849754719924,0.001729849754719924,543.6560690767519,64.66718330042698
6,5,18,B_optimized,True,126.95786275187278,80.95299143493023,589.8495468480768,1520,65.4367366854266,1.0888500792804758,0.07340616354818089,149.1798708595747,0.12825353180521828,7.4326058242471955,0.22367698776456382,0.18966367972752213,0.8618688927319729,0.6722052130044507,72580129.67711255,1.8918982411294012,0.05604015208961748,1.00125,0.10789180884779581,3.384424785718256,11.995064037825651,1.7579062002295542,6.230363733661544,2.2797571886374115,0.3273395164558857,-0.012749415475008543,0.034887788356956696,0.16314723596593583,0.08974107241775495,0.08974107241775495,128.7986667110689,15.015657766189609
7,6,2,A_standard,False,137.70368458599557,59.92469546635093,357.1274429172309,946,85.58117011949653,0.6933248588466483,0.03285062436435479,153.8859496387918,0.19402641829960462,8.135091414290978,0.21131052778563925,0.17923984383290656,0.8498445502463812,0.6706047064134746,20245112.583479136,0.527715961083891,0.10839590835752733,1.0015,0.10855850222006362,1.653566509555982,6.18662379950346,1.651089874743866,6.177357762859171,1.7981286002974914,0.23114247220451986,-0.014647374038841534,0.05937805661803178,0.04500339540061339,0.0121527710362586,0.0121527710362586,117.06865261901225,29.073093544573226
8,7,14,B_optimized,True,139.61914135833212,82.54398955531238,676.6490530660943,1488,55.0296428063798,0.42658796382100705,0.058770457382057724,140.43088720202687,0.32413886788553886,6.866753214314924,0.209277025258537,0.23762685165184103,0.8716781089923604,0.6340512573405194,83109728.80492276,2.1663663380909814,0.05252563879673183,1.00175,0.1349970863340056,4.524016405996118,12.071271703981072,1.7602368918089986,4.696777349488636,2.551913478634213,0.38981580893704243,-0.009082283536946774,0.041122992731408445,0.0682307274522583,0.009460270070200581,0.009460270070200581,114.18339156157055,19.796668247382623
9,8,5,A_standard,False,124.2031115878582,59.494658254400505,251.1151284179145,894,78.3887648254363,0.6454846540483119,0.023845995511801093,380.0415393403527,0.28913893643462085,7.289214528584191,0.2271382598072283,0.1909660713961427,0.8643441302550873,0.6733780588589446,13356367.820473947,0.3481516070561706,0.14180670869834788,1.002,0.14209032211574457,1.3466645770784154,4.748562779856619,1.3439766238307538,4.739084610635349,4.848163383957714,0.8639113189856038,0.01214909629399909,0.04519581137810043,0.039767930519290735,0.015921935007489642,0.015921935007489642,390.9605041734953,36.75640089141229
10,9,2,A_standard,False,123.1699262193007,68.76311393104072,257.9479626123573,1030,69.36851289844577,0.4585627422179008,0.026925633389784025,197.21913602384566,0.1038855219119583,9.547902015552719,0.22847029925665668,0.1128820251611103,0.8261672531448816,0.7132852279837713,18269424.295635156,0.47621700105970316,0.11128587244400726,1.00225,0.11153626565700628,1.0143428153282092,6.409485879195097,1.0120656675761628,6.39509691114502,2.843064205694749,0.4608463774940572,-0.011105993380540068,0.04521331355361176,0.008999295421513655,-0.01792633796827037,0.01792633796827037,180.82797083173352,29.528926099022495
